Name,Variant,Procedure,Appropriateness Category,Relative Radiation Level,Comment
Central Venous Access Device and Site Selection,"Device selection: Patient with acute renal failure requiring central venous access for renal replacement therapy, anticipated duration of therapy for 2 weeks or shorter",Chest port,Usually Not Appropriate,,
Central Venous Access Device and Site Selection,"Device selection: Patient with acute renal failure requiring central venous access for renal replacement therapy, anticipated duration of therapy for 2 weeks or shorter",PICC,Usually Not Appropriate,,
Central Venous Access Device and Site Selection,"Device selection: Patient with renal failure requiring central venous access for renal replacement therapy, anticipated duration of therapy for more than 2 weeks",Tunneled dialysis catheter,Usually Appropriate,,
Central Venous Access Device and Site Selection,"Device selection: Patient with renal failure requiring central venous access for renal replacement therapy, anticipated duration of therapy for more than 2 weeks",Nontunneled dialysis catheter,May Be Appropriate,,
Central Venous Access Device and Site Selection,"Device selection: Patient with renal failure requiring central venous access for renal replacement therapy, anticipated duration of therapy for more than 2 weeks",Arm port,Usually Not Appropriate,,
Central Venous Access Device and Site Selection,"Device selection: Patient with renal failure requiring central venous access for renal replacement therapy, anticipated duration of therapy for more than 2 weeks",Chest port,Usually Not Appropriate,,
Central Venous Access Device and Site Selection,"Device selection: Patient with renal failure requiring central venous access for renal replacement therapy, anticipated duration of therapy for more than 2 weeks",PICC,Usually Not Appropriate,,
Central Venous Access Device and Site Selection,Device selection: Patient with cancer diagnosis requiring central venous access for weekly chemotherapy infusion for more than 2 weeks,Chest port,Usually Appropriate,,
Central Venous Access Device and Site Selection,Device selection: Patient with cancer diagnosis requiring central venous access for weekly chemotherapy infusion for more than 2 weeks,Arm port,Usually Appropriate,,
Central Venous Access Device and Site Selection,Device selection: Patient with cancer diagnosis requiring central venous access for weekly chemotherapy infusion for more than 2 weeks,PICC,May Be Appropriate,,
Central Venous Access Device and Site Selection,Device selection: Patient with cancer diagnosis requiring central venous access for weekly chemotherapy infusion for more than 2 weeks,Tunneled central venous catheter,May Be Appropriate,,
Central Venous Access Device and Site Selection,Device selection: Patient with cancer diagnosis requiring central venous access for weekly chemotherapy infusion for more than 2 weeks,Nontunneled central venous catheter,Usually Not Appropriate,,
Central Venous Access Device and Site Selection,Device selection: Patient requiring continuous or very frequent intravenous administration of intravenous medications (excluding total parenteral nutrition) for more than 2 weeks,PICC,Usually Appropriate,,
Central Venous Access Device and Site Selection,Device selection: Patient requiring continuous or very frequent intravenous administration of intravenous medications (excluding total parenteral nutrition) for more than 2 weeks,Tunneled central venous catheter,Usually Appropriate,,
Central Venous Access Device and Site Selection,Device selection: Patient requiring continuous or very frequent intravenous administration of intravenous medications (excluding total parenteral nutrition) for more than 2 weeks,Chest port,May Be Appropriate,,
Central Venous Access Device and Site Selection,Device selection: Patient requiring continuous or very frequent intravenous administration of intravenous medications (excluding total parenteral nutrition) for more than 2 weeks,Arm port,May Be Appropriate,,
Central Venous Access Device and Site Selection,Device selection: Patient requiring continuous or very frequent intravenous administration of intravenous medications (excluding total parenteral nutrition) for more than 2 weeks,Nontunneled central venous catheter,Usually Not Appropriate,,
Central Venous Access Device and Site Selection,Device selection: Patient requiring long-term total parenteral nutrition and another indication for central access,Tunneled central venous catheter double lumen,Usually Appropriate,,
Central Venous Access Device and Site Selection,Device selection: Patient requiring long-term total parenteral nutrition and another indication for central access,Double lumen PICC,Usually Appropriate,,
Central Venous Access Device and Site Selection,Device selection: Patient requiring long-term total parenteral nutrition and another indication for central access,Single lumen PICC,May Be Appropriate,,
Central Venous Access Device and Site Selection,Device selection: Patient requiring long-term total parenteral nutrition and another indication for central access,Tunneled central venous catheter single lumen,May Be Appropriate,,
Central Venous Access Device and Site Selection,Device selection: Patient requiring long-term total parenteral nutrition and another indication for central access,Chest port,May Be Appropriate,,
Central Venous Access Device and Site Selection,Device selection: Patient requiring long-term total parenteral nutrition and another indication for central access,Arm port,Usually Not Appropriate,,
Central Venous Access Device and Site Selection,Device selection: Patient with chronic kidney disease requiring central venous catheter IV infusions for more than 2 weeks,Tunneled central venous catheter single lumen,Usually Appropriate,,
Central Venous Access Device and Site Selection,Device selection: Patient with chronic kidney disease requiring central venous catheter IV infusions for more than 2 weeks,Tunneled central venous catheter double lumen,Usually Appropriate,,
Central Venous Access Device and Site Selection,Device selection: Patient with chronic kidney disease requiring central venous catheter IV infusions for more than 2 weeks,Chest port via internal jugular vein,May Be Appropriate,,
Central Venous Access Device and Site Selection,Device selection: Patient with chronic kidney disease requiring central venous catheter IV infusions for more than 2 weeks,Chest port via subclavian vein,Usually Not Appropriate,,
Central Venous Access Device and Site Selection,Device selection: Patient with chronic kidney disease requiring central venous catheter IV infusions for more than 2 weeks,Arm port,Usually Not Appropriate,,
Central Venous Access Device and Site Selection,Device selection: Patient with chronic kidney disease requiring central venous catheter IV infusions for more than 2 weeks,PICC,Usually Not Appropriate,,
Central Venous Access Device and Site Selection,Site selection: Patient with acute illness requiring central venous catheter for anticipated therapy for 2 weeks or shorter,Right or left internal jugular vein,Usually Appropriate,,
Central Venous Access Device and Site Selection,Site selection: Patient with acute illness requiring central venous catheter for anticipated therapy for 2 weeks or shorter,Right or left subclavian vein,Usually Appropriate,,
Central Venous Access Device and Site Selection,Site selection: Patient with acute illness requiring central venous catheter for anticipated therapy for 2 weeks or shorter,Upper extremity vein,Usually Appropriate,,
Central Venous Access Device and Site Selection,Site selection: Patient with acute illness requiring central venous catheter for anticipated therapy for 2 weeks or shorter,Right or left external jugular vein,May Be Appropriate,,
Central Venous Access Device and Site Selection,Site selection: Patient with acute illness requiring central venous catheter for anticipated therapy for 2 weeks or shorter,Right or left femoral vein,May Be Appropriate,,
Central Venous Access Device and Site Selection,Site selection: Patient with acute illness requiring central venous catheter for anticipated therapy for 2 weeks or shorter,Hepatic vein,Usually Not Appropriate,,
Central Venous Access Device and Site Selection,Site selection: Patient with acute illness requiring central venous catheter for anticipated therapy for 2 weeks or shorter,Inferior vena cava,Usually Not Appropriate,,
Central Venous Access Device and Site Selection,Site selection: Patient with chronic kidney disease or end-stage renal disease requiring central venous catheter,Right or left internal jugular vein,Usually Appropriate,,
Central Venous Access Device and Site Selection,Site selection: Patient with chronic kidney disease or end-stage renal disease requiring central venous catheter,Right or left external jugular vein,May Be Appropriate,,
Central Venous Access Device and Site Selection,Site selection: Patient with chronic kidney disease or end-stage renal disease requiring central venous catheter,Right or left femoral vein,May Be Appropriate,,
Central Venous Access Device and Site Selection,Site selection: Patient with chronic kidney disease or end-stage renal disease requiring central venous catheter,Inferior vena cava,May Be Appropriate,,
Central Venous Access Device and Site Selection,Site selection: Patient with chronic kidney disease or end-stage renal disease requiring central venous catheter,Right or left subclavian vein,May Be Appropriate,,
Central Venous Access Device and Site Selection,Site selection: Patient with chronic kidney disease or end-stage renal disease requiring central venous catheter,Hepatic vein,Usually Not Appropriate,,
Central Venous Access Device and Site Selection,Site selection: Patient with chronic kidney disease or end-stage renal disease requiring central venous catheter,Upper extremity vein,Usually Not Appropriate,,
Dialysis Fistula Malfunction,"Suspected dysfunction of upper or lower extremity hemodialysis access (ie, arteriovenous fistula or graft) suggested by an abnormal clinical indicator or hemodynamic indicator (ie, reduction in dialysis vascular access blood flow rate or kinetics). Initial imaging to guide interventional radiologic therapy options.",Fluoroscopy fistulography hemodialysis access area of interest,Usually Appropriate,,
Dialysis Fistula Malfunction,"Suspected dysfunction of upper or lower extremity hemodialysis access (ie, arteriovenous fistula or graft) suggested by an abnormal clinical indicator or hemodynamic indicator (ie, reduction in dialysis vascular access blood flow rate or kinetics). Initial imaging to guide interventional radiologic therapy options.",US duplex Doppler hemodialysis access area of interest,Usually Appropriate,,
Dialysis Fistula Malfunction,"Suspected dysfunction of upper or lower extremity hemodialysis access (ie, arteriovenous fistula or graft) suggested by an abnormal clinical indicator or hemodynamic indicator (ie, reduction in dialysis vascular access blood flow rate or kinetics). Initial imaging to guide interventional radiologic therapy options.",MRA extremity area of interest without and with IV contrast,Usually Not Appropriate,,
Dialysis Fistula Malfunction,"Suspected dysfunction of upper or lower extremity hemodialysis access (ie, arteriovenous fistula or graft) suggested by an abnormal clinical indicator or hemodynamic indicator (ie, reduction in dialysis vascular access blood flow rate or kinetics). Initial imaging to guide interventional radiologic therapy options.",MRA extremity area of interest without IV contrast,Usually Not Appropriate,,
Dialysis Fistula Malfunction,"Suspected dysfunction of upper or lower extremity hemodialysis access (ie, arteriovenous fistula or graft) suggested by an abnormal clinical indicator or hemodynamic indicator (ie, reduction in dialysis vascular access blood flow rate or kinetics). Initial imaging to guide interventional radiologic therapy options.",MRV extremity area of interest without and with IV contrast,Usually Not Appropriate,,
Dialysis Fistula Malfunction,"Suspected dysfunction of upper or lower extremity hemodialysis access (ie, arteriovenous fistula or graft) suggested by an abnormal clinical indicator or hemodynamic indicator (ie, reduction in dialysis vascular access blood flow rate or kinetics). Initial imaging to guide interventional radiologic therapy options.",MRV extremity area of interest without IV contrast,Usually Not Appropriate,,
Dialysis Fistula Malfunction,"Suspected dysfunction of upper or lower extremity hemodialysis access (ie, arteriovenous fistula or graft) suggested by an abnormal clinical indicator or hemodynamic indicator (ie, reduction in dialysis vascular access blood flow rate or kinetics). Initial imaging to guide interventional radiologic therapy options.",CTA extremity area of interest with IV contrast,Usually Not Appropriate,,
Dialysis Fistula Malfunction,"Suspected dysfunction of upper or lower extremity hemodialysis access (ie, arteriovenous fistula or graft) suggested by an abnormal clinical indicator or hemodynamic indicator (ie, reduction in dialysis vascular access blood flow rate or kinetics). Initial imaging to guide interventional radiologic therapy options.",CTV extremity area of interest with IV contrast,Usually Not Appropriate,,
Dialysis Fistula Malfunction,"Suspected dysfunction of the upper or lower extremity hemodialysis access (ie, arteriovenous fistula or graft) suggested by an abnormal clinical indicator or hemodynamic indicator (ie, reduction in dialysis vascular access blood flow rate or kinetics). Treatment and procedures.",US duplex Doppler hemodialysis access area of interest,Usually Appropriate,,
Dialysis Fistula Malfunction,"Suspected dysfunction of the upper or lower extremity hemodialysis access (ie, arteriovenous fistula or graft) suggested by an abnormal clinical indicator or hemodynamic indicator (ie, reduction in dialysis vascular access blood flow rate or kinetics). Treatment and procedures.",Fluoroscopy fistulography hemodialysis access with intervention,Usually Appropriate,,
Dialysis Fistula Malfunction,"Suspected dysfunction of the upper or lower extremity hemodialysis access (ie, arteriovenous fistula or graft) suggested by an abnormal clinical indicator or hemodynamic indicator (ie, reduction in dialysis vascular access blood flow rate or kinetics). Treatment and procedures.",Continued hemodialysis access use with surveillance,May Be Appropriate,,
Dialysis Fistula Malfunction,"Suspected dysfunction of the upper or lower extremity hemodialysis access (ie, arteriovenous fistula or graft) suggested by an abnormal clinical indicator or hemodynamic indicator (ie, reduction in dialysis vascular access blood flow rate or kinetics). Treatment and procedures.",Placement of a new tunneled dialysis catheter,May Be Appropriate,,
Dialysis Fistula Malfunction,"Suspected dysfunction of the upper or lower extremity hemodialysis access (ie, arteriovenous fistula or graft) suggested by an abnormal clinical indicator or hemodynamic indicator (ie, reduction in dialysis vascular access blood flow rate or kinetics). Treatment and procedures.",Surgical consultation,May Be Appropriate,,
Dialysis Fistula Malfunction,"Suspected thrombosis of the upper or lower extremity hemodialysis access, marked by absent pulse and thrill on physical examination. Initial imaging to guide interventional radiologic therapy options.",Fluoroscopy fistulography hemodialysis access area of interest,Usually Appropriate,,
Dialysis Fistula Malfunction,"Suspected thrombosis of the upper or lower extremity hemodialysis access, marked by absent pulse and thrill on physical examination. Initial imaging to guide interventional radiologic therapy options.",US duplex Doppler hemodialysis access area of interest,May Be Appropriate,,
Dialysis Fistula Malfunction,"Suspected thrombosis of the upper or lower extremity hemodialysis access, marked by absent pulse and thrill on physical examination. Initial imaging to guide interventional radiologic therapy options.",MRA extremity area of interest without and with IV contrast,Usually Not Appropriate,,
Dialysis Fistula Malfunction,"Suspected thrombosis of the upper or lower extremity hemodialysis access, marked by absent pulse and thrill on physical examination. Initial imaging to guide interventional radiologic therapy options.1",MRA extremity area of interest without IV contrast2,Usually Not Appropriate3,,
Dialysis Fistula Malfunction4,"Suspected thrombosis of the upper or lower extremity hemodialysis access, marked by5 absent pulse and thrill on physical examination. Initial imaging to guide interventional radiologic therapy options.",MRV extremity area of interest without and with IV contrast,Usually Not Appropriate,,
Dialysis Fistula Malfunction,"Suspected thrombosis of the upper or lower extremity hemodialysis access, marked by absent pulse and thrill on physical examination. Initial imaging to guide interventional radiologic therapy options.",MRV extremity area of interest without IV contrast,Usually Not Appropriate,,
Dialysis Fistula Malfunction,"Suspected thrombosis of the upper or lower extremity hemodialysis access, marked by absent pulse and thrill on physical examination. Initial imaging to guide interventional radiologic therapy options.",CTA extremity area of interest with IV contrast,Usually Not Appropriate,,
Dialysis Fistula Malfunction,"Suspected thrombosis of the upper or lower extremity hemodialysis access, marked by absent pulse and thrill on physical examination. Initial imaging to guide interventional radiologic therapy options.",CTV extremity area of interest with IV contrast,Usually Not Appropriate,,
Dialysis Fistula Malfunction,"Suspected thrombosis of the upper or lower extremity hemodialysis access, marked by absent pulse and thrill on physical examination. Treatment and procedures.",Fluoroscopy fistulography hemodialysis access with intervention,Usually Appropriate,,
Dialysis Fistula Malfunction,"Suspected thrombosis of the upper or lower extremity hemodialysis access, marked by absent pulse and thrill on physical examination. Treatment and procedures.6",Surgical consultation7,Usually Appropriate8,,
Dialysis Fistula Malfunction9,"Suspected thrombosis of the upper or lower extremity hemodial10ysis access, marked by absent pulse and thrill on physical examination. Treatment and procedures.",Placement of a new tunneled dialysis catheter,May Be Appropriate,,
Dialysis Fistula Malfunction,"Suspected thrombosis of the upper or lower extremity hemodialysis access, marked by absent pulse and thrill on physical examination. Treatment and procedures.",US duplex Doppler hemodialysis access area of interest,Usually Not Appropriate,,
Dialysis Fistula Malfunction,Failure of an upper or lower extremity arteriovenous fistula to mature within 2 months after creation. Initial imaging to guide interventional radiologic therapy options.11,Fluoroscopy fistulography hemodialysis access area of interest12,Usually Appropriate13,,
Dialysis Fistula Malfunction14,Failure of an upper or lower extremity arteriovenous fistula to m15ature within 2 months after creation. Initial imaging to guide interventional radiologic therapy options.,US duplex Doppler hemodialysis access area of interest,Usually Appropriate,,
Dialysis Fistula Malfunction16,Failure of an upper or lower extremity arteriovenous fistula to mature within 2 months after creation. Initial imaging to guide interventional radiologic therapy options.17,MRA extre18mity area of interest without and with IV contrast,Usually Not Appropriate,,
Dialysis Fistula Malfunction,Failure of an upper or lower extremity arteriovenous fistula to mature within 2 months after creation. Initial imaging to guide interventional radiologic therapy options.,MRA extremity area of interest without IV contrast,Usually Not Appropriate,,
Dialysis Fistula Malfunction,Failure of an upper or lower extremity arteriovenous fistula to mature within 2 months after creation. Initial imaging to guide interventional radiologic therapy options.19,MRV extremity area of interest without and with IV contrast20,Usually Not Appropriate21,,
Dialysis Fistula Malfunction22,Failure of an upper or lower extremity arteriovenous fistula to mature within23 2 months after creation. Initial imaging to guide interventional radiologic therapy options.,MRV extremity area of interest without IV contrast,Usually Not Appropriate,,
Dialysis Fistula Malfunction,Failure of an upper or lower extremity arteriovenous fistula to mature within 2 months after creation. Initial imaging to guide interventional radiologic therapy options.,CTA extremity area of interest with IV contrast,Usually Not Appropriate,,
Dialysis Fistula Malfunction,Failure of an upper or lower extremity arteriovenous fistula to mature within 2 months after creation. Initial imaging to guide interventional radiologic therapy options.,CTV extremity area of interest with IV contrast,Usually Not Appropriate,,
Dialysis Fistula Malfunction,Failure of an upper or lower extremity arteriovenous fistula to mature within 2 months after creation. Treatment and procedures.,US duplex Doppler hemodialysis access area of interest,Usually Appropriate,,
Dialysis Fistula Malfunction,Failure of an upper or lower extremity arteriovenous fistula to mature within 2 months after creation. Treatment and procedures.,Fluoroscopy fistulography hemodialysis access with intervention,Usually Appropriate,,
Dialysis Fistula Malfunction,Failure of an upper or lower extremity arteriovenous fistula to mature within 2 months after creation. Treatment and procedures.,Surgical consultation,Usually Appropriate,,
Dialysis Fistula Malfunction,Failure of an upper or lower extremity arteriovenous fistula to mature within 2 months after creation. Treatment and procedures.,Placement of a new tunneled dialysis catheter,May Be Appropriate,,
Dialysis Fistula Malfunction,"Clinical suspicion of central venous stenosis or occlusion suggested by swelling (ie, soft tissue edema) of the extremity ipsilateral to the upper or lower extremity hemodialysis access, with or without the development of venous collaterals. Initial imaging to guide interventional radiologic therapy options.",Fluoroscopy fistulography hemodialysis access area of interest,Usually Appropriate,,
Dialysis Fistula Malfunction,"Clinical suspicion of central venous stenosis or occlusion suggested by swelling (ie, soft tissue edema) of the extremity ipsilateral to the upper or lower extremity hemodialysis access, with or without the development of venous collaterals. Initial imaging to guide interventional radiologic therapy options.",US duplex Doppler hemodialysis access area of interest,Usually Not Appropriate,,
Dialysis Fistula Malfunction,"Clinical suspicion of central venous stenosis or occlusion suggested by swelling (ie, soft tissue edema) of the extremity ipsilateral to the upper or lower extremity hemodialysis access, with or without the development of venous collaterals. Initial imaging to guide interventional radiologic therapy options.",MRA extremity area of interest without and with IV contrast,Usually Not Appropriate,,
Dialysis Fistula Malfunction,"Clinical suspicion of central venous stenosis or occlusion suggested by swelling (ie, soft tissue edema) of the extremity ipsilateral to the upper or lower extremity hemodialysis access, with or without the development of venous collaterals. Initial imaging to guide interventional radiologic therapy options.",MRA extremity area of interest without IV contrast,Usually Not Appropriate,,
Dialysis Fistula Malfunction,"Clinical suspicion of central venous stenosis or occlusion suggested by swelling (ie, soft tissue edema) of the extremity ipsilateral to the upper or lower extremity hemodialysis access, with or without the development of venous collaterals. Initial imaging to guide interventional radiologic therapy options.",MRV extremity area of interest without and with IV contrast,Usually Not Appropriate,,
Dialysis Fistula Malfunction,"Clinical suspicion of central venous stenosis or occlusion suggested by swelling (ie, soft tissue edema) of the extremity ipsilateral to the upper or lower extremity hemodialysis access, with or without the development of venous collaterals. Initial imaging to guide interventional radiologic therapy options.",MRV extremity area of interest without IV contrast,Usually Not Appropriate,,
Dialysis Fistula Malfunction,"Clinical suspicion of central venous stenosis or occlusion suggested by swelling (ie, soft tissue edema) of the extremity ipsilateral to the upper or lower extremity hemodialysis access, with or without the development of venous collaterals. Initial imaging to guide interventional radiologic therapy options.",CTA extremity area of interest with IV contrast,Usually Not Appropriate,,
Dialysis Fistula Malfunction,"Clinical suspicion of central venous stenosis or occlusion suggested by swelling (ie, soft tissue edema) of the extremity ipsilateral to the upper or lower extremity hemodialysis access, with or without the development of venous collaterals. Initial imaging to guide interventional radiologic therapy options.",CTV extremity area of interest with IV contrast,Usually Not Appropriate,,
Dialysis Fistula Malfunction,"Clinical suspicion of central venous stenosis or occlusion suggested by swelling (ie, soft tissue edema) of the extremity ipsilateral to the upper or lower extremity hemodialysis access, with or without the development of venous collaterals. Treatment and procedures.",Fluoroscopy fistulography hemodialysis access with intervention,Usually Appropriate,,
Dialysis Fistula Malfunction,"Clinical suspicion of central venous stenosis or occlusion suggested by swelling (ie, soft tissue edema) of the extremity ipsilateral to the upper or lower extremity hemodialysis access, with or without the development of venous collaterals. Treatment and procedures.",Continued hemodialysis access use with surveillance,May Be Appropriate,,
Dialysis Fistula Malfunction,"Clinical suspicion of central venous stenosis or occlusion suggested by swelling (ie, soft tissue edema) of the extremity ipsilateral to the upper or lower extremity hemodialysis access, with or without the development of venous collaterals. Treatment and procedures.",US duplex Doppler hemodialysis access area of interest,Usually Not Appropriate,,
Dialysis Fistula Malfunction,"Clinical suspicion of central venous stenosis or occlusion suggested by swelling (ie, soft tissue edema) of the extremity ipsilateral to the upper or lower extremity hemodialysis access, with or without the development of venous collaterals. Treatment and procedures.",Placement of a new tunneled dialysis catheter,Usually Not Appropriate,,
Dialysis Fistula Malfunction,"Clinical suspicion of central venous stenosis or occlusion suggested by swelling (ie, soft tissue edema) of the extremity ipsilateral to the upper or lower extremity hemodialysis access, with or without the development of venous collaterals. Treatment and procedures.",Surgical consultation,Usually Not Appropriate,,
Dialysis Fistula Malfunction,"Abnormal skin changes associated with the upper or lower extremity hemodialysis access cannulation site, including marked thinning, ulceration, eschar formation, spontaneous bleeding, pseudoaneurysm formation, superficial or deep infection. Initial imaging to guide interventional radiologic therapy options.",US duplex Doppler hemodialysis access area of interest,Usually Appropriate,,
Dialysis Fistula Malfunction,"Abnormal skin changes associated with the upper or lower extremity hemodialysis access cannulation site, including marked thinning, ulceration, eschar formation, spontaneous bleeding, pseudoaneurysm formation, superficial or deep infection. Initial imaging to guide interventional radiologic therapy options.",Fluoroscopy fistulography hemodialysis access area of interest,May Be Appropriate,,
Dialysis Fistula Malfunction,"Abnormal skin changes associated with the upper or lower extremity hemodialysis access cannulation site, including marked thinning, ulceration, eschar formation, spontaneous bleeding, pseudoaneurysm formation, superficial or deep infection. Initial imaging to guide interventional radiologic therapy options.",MRA extremity area of interest without and with IV contrast,Usually Not Appropriate,,
Dialysis Fistula Malfunction,"Abnormal skin changes associated with the upper or lower extremity hemodialysis access cannulation site, including marked thinning, ulceration, eschar formation, spontaneous bleeding, pseudoaneurysm formation, superficial or deep infection. Initial imaging to guide interventional radiologic therapy options.",MRA extremity area of interest without IV contrast,Usually Not Appropriate,,
Dialysis Fistula Malfunction,"Abnormal skin changes associated with the upper or lower extremity hemodialysis access cannulation site, including marked thinning, ulceration, eschar formation, spontaneous bleeding, pseudoaneurysm formation, superficial or deep infection. Initial imaging to guide interventional radiologic therapy options.",MRV extremity area of interest without and with IV contrast,Usually Not Appropriate,,
Dialysis Fistula Malfunction,"Abnormal skin changes associated with the upper or lower extremity hemodialysis access cannulation site, including marked thinning, ulceration, eschar formation, spontaneous bleeding, pseudoaneurysm formation, superficial or deep infection. Initial imaging to guide interventional radiologic therapy options.",MRV extremity area of interest without IV contrast,Usually Not Appropriate,,
Dialysis Fistula Malfunction,"Abnormal skin changes associated with the upper or lower extremity hemodialysis access cannulation site, including marked thinning, ulceration, eschar formation, spontaneous bleeding, pseudoaneurysm formation, superficial or deep infection. Initial imaging to guide interventional radiologic therapy options.",CTA extremity area of interest with IV contrast,Usually Not Appropriate,,
Dialysis Fistula Malfunction,"Abnormal skin changes associated with the upper or lower extremity hemodialysis access cannulation site, including marked thinning, ulceration, eschar formation, spontaneous bleeding, pseudoaneurysm formation, superficial or deep infection. Initial imaging to guide interventional radiologic therapy options.",CTV extremity area of interest with IV contrast,Usually Not Appropriate,,
